,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
68,True,2023-09-14 11:21:53,16.9723933,82.2403816,69,7.0 km/h,"16.972393°, 82.240382°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=5  io200=0  io69=1  pdop=1.8  hdop=1.7000000000000002  power=12.362  battery=3.8040000000000003  io68=40  operator=40449  odometer=23  distance=9192796.27  totalDistance=3.676909016E7,7.0
69,True,2023-09-14 11:22:55,16.9724216,82.240345,61,0.0 km/h,"16.972422°, 82.240345°",priority=0  sat=4  event=240  ignition=false  motion=false  rssi=5  io200=0  io69=1  pdop=2.3000000000000003  hdop=2.1  power=12.365  battery=3.818  io68=40  operator=40449  odometer=23  distance=5.01  totalDistance=3.676909517E7,0.0
70,True,2023-09-14 11:23:40,16.9724216,82.240345,49,0.0 km/h,"16.972422°, 82.240345°",priority=0  sat=4  event=239  ignition=true  motion=false  rssi=5  io200=0  io69=1  pdop=2.3000000000000003  hdop=2.1  power=13.424  battery=3.827  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=3.676909517E7,0.0
71,True,2023-09-14 11:24:01,16.9722366,82.24043,49,0.0 km/h,"16.972237°, 82.240430°",priority=0  sat=4  event=240  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=2.3000000000000003  hdop=2.1  power=14.174  battery=3.827  io68=40  operator=40449  odometer=23  distance=22.49  totalDistance=3.676911766E7  hours=21000,0.0
72,True,2023-09-14 11:24:11,16.9723716,82.2404983,49,9.0 km/h,"16.972372°, 82.240498°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=4.6000000000000005  hdop=2.4000000000000004  power=14.327  battery=3.827  io68=40  operator=40449  odometer=36  distance=16.7  totalDistance=3.676913436E7  hours=31000,9.0
73,True,2023-09-14 11:24:12,16.972415,82.2405049,49,11.0 km/h,"16.972415°, 82.240505°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=2.4000000000000004  hdop=2.1  power=14.293000000000001  battery=3.827  io68=40  operator=40449  odometer=41  distance=4.88  totalDistance=3.676913924E7  hours=32000,11.0
74,True,2023-09-14 11:24:15,16.9725516,82.2405433,49,17.0 km/h,"16.972552°, 82.240543°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=4.800000000000001  hdop=2.4000000000000004  power=14.278  battery=3.827  io68=40  operator=40449  odometer=57  distance=15.75  totalDistance=3.676915499E7  hours=35000,17.0
75,True,2023-09-14 11:24:18,16.9727816,82.240635,48,27.0 km/h,"16.972782°, 82.240635°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=4.800000000000001  hdop=2.4000000000000004  power=14.283  battery=3.827  io68=40  operator=40449  odometer=84  distance=27.4  totalDistance=3.676918239E7  hours=38000,27.0
76,True,2023-09-14 11:24:25,16.9733733,82.2409416,44,38.0 km/h,"16.973373°, 82.240942°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=5  io200=0  io69=1  pdop=4.800000000000001  hdop=2.4000000000000004  power=14.298  battery=3.831  io68=40  operator=40449  odometer=158  distance=73.51  totalDistance=3.67692559E7  hours=45000,38.0
77,True,2023-09-14 11:24:34,16.9743083,82.2412583,40,32.0 km/h,"16.974308°, 82.241258°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=2.4000000000000004  power=14.315  battery=3.8320000000000003  io68=40  operator=40449  odometer=268  distance=109.41  totalDistance=3.676936531E7  hours=54000,32.0
78,True,2023-09-14 11:24:44,16.9749733,82.2414566,38,22.0 km/h,"16.974973°, 82.241457°",priority=0  sat=4  event=0  ignition=true  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=2.4000000000000004  power=14.323  battery=3.8320000000000003  io68=40  operator=40449  odometer=345  distance=76.98  totalDistance=3.676944229E7  hours=64000,22.0
